k,tot.withinss,recommended_clusters
1,1043.000000000003,NA
2,590.4316620587449,NA
3,418.82286380591,NA
4,135.99495000956307,4
5,110.13989736030723,NA
6,102.73188819718474,NA
7,125.65060003093215,NA
8,89.65254403937456,NA
9,59.35711967816957,NA
10,55.63936219367795,NA
11,59.869190238934245,NA
12,47.00511889886215,NA
13,43.31341912626083,NA
14,47.14284572604589,NA
15,37.65865322892927,NA
16,35.51348539324019,NA
17,36.4566986892586,NA
18,34.43083929959169,NA
19,29.789107278360234,NA
20,29.14932869122021,NA
